param_pca__n_components,param_svm__C,param_svm__gamma,mean_test_score,std_test_score,rank_test_score
100,10.0,scale,0.9443712316968129,0.017906040405246758,1
120,10.0,scale,0.9443712316968129,0.017906040405246758,1
50,10.0,scale,0.9397372954349699,0.01667217201481509,3
100,1.0,scale,0.92583548664944,0.02059892576179174,4
120,1.0,scale,0.92583548664944,0.02059892576179174,4
50,1.0,scale,0.9249095607235143,0.02108848961128818,6
100,0.1,scale,0.8062704565030148,0.030857335067599207,7
120,0.1,scale,0.8062704565030148,0.030857335067599207,7
50,0.1,scale,0.8062704565030145,0.03181491544692855,9
50,10.0,0.1,0.6477993109388459,0.024487282785164644,10
100,10.0,0.1,0.6311197243755383,0.025252518860863105,11
120,10.0,0.1,0.6311197243755383,0.025252518860863105,11
50,1.0,0.1,0.612588285960379,0.02324817480683903,13
100,1.0,0.1,0.5801550387596899,0.025812081752693,14
120,1.0,0.1,0.5773772609819121,0.02054918304391292,15
50,1.0,1,0.1677476313522825,0.0017995539822387443,16
100,1.0,1,0.1677476313522825,0.0017995539822387443,16
50,10.0,1,0.1677476313522825,0.0017995539822387443,16
100,0.1,0.1,0.1677476313522825,0.0017995539822387443,16
100,0.1,1,0.1677476313522825,0.0017995539822387443,16
50,0.1,1,0.1677476313522825,0.0017995539822387443,16
50,0.1,0.1,0.1677476313522825,0.0017995539822387443,16
120,0.1,0.1,0.1677476313522825,0.0017995539822387443,16
100,10.0,1,0.1677476313522825,0.0017995539822387443,16
120,1.0,1,0.1677476313522825,0.0017995539822387443,16
120,0.1,1,0.1677476313522825,0.0017995539822387443,16
120,10.0,1,0.1677476313522825,0.0017995539822387443,16
